words	cat_label	sent_label
晕死 ， 感觉 用 了 掉 发 ， 脱毛膏 吧 ？ 我 去 拆 了 能 退 不 ？ 掉 的 头发 能 陪 不 ？	0	0
外观 做工 ， 外观 我 很 喜欢 ， 或者说 我 就是 喜欢 thinkpad 的 外观 ， 做工 扎实 。   屏幕 效果 不错 ， 比起 另一台 acer 的 LED 屏 ， 觉得 颗粒感 稍重 ， 色彩 表现 也 差 一些 ， 总体 不错 。 键盘 手感 一如既往 的 好 。 散热 也 很 好 ， 用 了 很 久 ， 键盘 也 只 感觉 温 ， 底部 除了 散热 口 部分 ， 其他 冰凉 。	3	1
彩屏 ， 和弦 ， 关机 后 有 时钟	3	1
裤子 质量 不错 ， 主要 是 穿 上 舒服 ， 不得不 说 客服 态度 很 好 ， 物流 速度 也 很快 ， 值得 购买 ， 很 满意哦 ！	4	1
给 孩子 买 的   性价比 很 高   支持 国产	3	1
东西 不错 ， 有点 可惜 的 就是 屏幕 没有 想象 中 的 棒 ， 还是 给 赞	3	1
冲着 网页 上 宣称 的 送 吹风机 去 的   买 之前 还 专门 问 了 客服   结果 收到 货 的 时候 就 没有 吹风机   送货 也 花 了 一周   差评 差评 差评	0	0
第二次 购买 了 ， 正好 最近 降价 了 。 不 知道 和 之前 * * * 买 的 是否 还是 一样 。	6	1
和 我 买 的 第一条 慕尼黑 的 颜色 不 一样 。	4	0
平板 很 不错 ， wifi 信号 好 啊 ， 玩 王者 给力 啊	3	1
1 、 配置 不错 ， 价格 可以 接受   2 、 散热 好 ， 用 十多 小时 后 机器 升温 不 大 ， CPU55 度 ， 硬盘 49 度   3 、 小键盘 比较 方便   4 、 机器 运转 声音 较 轻 ， 没有 明显 的 风扇 声   5 、 屏 很 好 ， 笔记本 中算 较大 的 ， 玩游戏 、 看 视频 爽 ， 声音 也 不错	3	1
满意 。 就是 颜色 我 没有 选 对 ， 有点 小 遗憾 。	4	0
很 不错 ， 划算 ， 比 在 超市 买 便宜 不少 ， 包装 完整 ， 推荐 购买 。	0	1
苹果 很脆 ， 很甜 。 包装 很 好 ， 每个 苹果 都 有 一个 独立 空格 放 ， 避免 果 之间 磕碰 。	6	1
1 . 不是 和弦 的 铃声 ；   2 . 没有 振动 功能 ；	3	0
差评 没 解释	5	0
期盼 之中 ， 终于 等到 了 心爱 的 东东 ， 谢谢 ！	4	1
酒店 位置 交通 方便 ， 走 不远 就 有 多路 公交车 ； 服务 很 好 ， 我们 提前 入住 ， 并 没有 多 收费 用 ； 吃饭 方便 ， 楼下 就是 避风塘 ， 酒店 中餐厅 的 套餐 也 不错 ， 味美 实惠 。 购物 也 很 便利 ， 不远 的 延安路 就 有 采芝斋 的 专卖店 ， 而往 中山 酒店 走 的 方向 一条 小巷子 里 有 菜市场 ， 可以 买 到 蔬菜水果 和 油条 早餐 。 宾馆 反馈   2008 年 8 月 11 日   ：   非常 感谢您 对 我们 酒店 服务 的 肯定 。 酒店 会 不断 的 努力 ， 提升 酒店 品质 ， 提高 服务质量 。 衷心 期待 您 的 再次 光临 ！	5	1
看着 还 不错 ， 包装 也 行 ， 个头 不算 小	6	1
1 . 装 的 Vista ？ 有时候 会 蓝屏 显示 bad   pool   caller 不知 到 怎么回事 ？ 有没有 大哥 有 解决 的 方法 ？   2 . 磨具 有点 粗糙 。	3	0
优点 1 ： 512MB 海量 大 内存 ； 2 ： 双 CPU ， 处理速度 有 较大 提升 ； 3 ： 具备 专业 的 线控 耳机 ， MP3 音质 不俗 强大 的 多媒体 功能 小巧 外型 拍摄 功能完善 超大 机身 内存	3	1
最 后悔 的 一次 预订 ， 这家 酒店 卫生 真的 很脏 ， 这 是 最 公布 的 ， 最 基本 的 卫生 都 搞不好 ， 别的 不想 多 说 了 ！	5	0
10 月 5 号 到 6 号 ， 只住 一天 ， 中午 12 点 左右 到 的 宾馆 ， 竟然 房间 还 没有 收拾 ， 屋里 一股 臭味 ， 酒店 理由 是 人员 不够 ， 收拾 不 过来 ~ ~ 无 语 ！ 2 点 才 弄 好 ， 建议 大家 选择 别的 酒店 ， 顺便 说 一句 ， 一次性 拖鞋 10 元 一双 还有 酒店 出门 边上 好像 是 BTV 的 餐厅 ， 自助 30 一位 ， 绝对 超值 ， 单点 就 不用 了 ， 又 贵量 又 少 。	5	0
价格便宜   做工 比 以前 那款 带 独显 的 强 的   但 塑料 痕迹 还是 太重   科技 感不强   可能 是 我 要求 太高 了 点   屏幕 无点   哈哈   RP 好	3	1
